Not using distributed mode
git:
  sha: 85b8696e6a0ce62526bd5f21358c671dcf69dc24, status: has uncommited changes, branch: main

Namespace(aux_loss=True, backbone='resnet101', batch_size=16, bbox_loss_coef=5, clip_max_norm=0.1, coco_panoptic_path=None, coco_path='/data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p', cons_loss=False, cons_loss_coef=10, data_augment=True, dataset_file='rsna', dec_layers=6, device='cuda', dice_loss_coef=1, dilation=False, dim_feedforward=2048, dist_url='env://', distributed=False, dropout=0.1, enc_layers=6, eos_coef=0.1, epochs=111, eval=False, frozen_weights=None, generate_pseudo_bbox=False, giou_loss_coef=2, hidden_dim=256, load_from='', lr=0.0001, lr_backbone=1e-05, lr_drop=[72, 96], mask_loss_coef=1, masks=False, nheads=8, num_queries=100, num_workers=16, output_dir='/data/sundeep/Point-Beyond-Class/Output/outfiles/models/RSNA/exp4_stage1_data50p_1pts_Erase20_jit005_unlabelLossL2Loss50_Load2ptsconsPth_resnet101', partial=50, position_embedding='v4', pre_norm=True, remove_difficult=False, resume='', sample_points_num=1, save_csv=None, save_evaltxt_forDraw=False, seed=42, set_cost_bbox=5, set_cost_class=1, set_cost_giou=2, start_epoch=0, start_sample_UnSupImg=80, train_with_unlabel_imgs=True, unlabel_cons_loss_coef=50.0, val_data='val', weight_decay=0.0001, world_size=1)
weight dict ..  {'loss_ce': 1, 'loss_bbox': 5, 'loss_giou': 2, 'loss_unlabelcons': 50.0, 'loss_ce_0': 1, 'loss_bbox_0': 5, 'loss_giou_0': 2, 'loss_unlabelcons_0': 50.0, 'loss_ce_1': 1, 'loss_bbox_1': 5, 'loss_giou_1': 2, 'loss_unlabelcons_1': 50.0, 'loss_ce_2': 1, 'loss_bbox_2': 5, 'loss_giou_2': 2, 'loss_unlabelcons_2': 50.0, 'loss_ce_3': 1, 'loss_bbox_3': 5, 'loss_giou_3': 2, 'loss_unlabelcons_3': 50.0, 'loss_ce_4': 1, 'loss_bbox_4': 5, 'loss_giou_4': 2, 'loss_unlabelcons_4': 50.0}
number of params: 60233992
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/instances_trainBox.json
loading annotations into memory...
Done (t=0.02s)
creating index...
index created!
=====> training with unlabeled imgs (point annotation)
loading annotations into memory...
Done (t=0.07s)
creating index...
index created!
=====> /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/100p/instances_trainBox.json
sample points num ..  1
dataset path: 
 /data/sundeep/Point-Beyond-Class/data/RSNA/cocoAnn/50p/../instances_val.json
loading annotations into memory...
Done (t=0.01s)
creating index...
index created!
sample points num ..  1
training data:
num:  4809
sample:  5 (tensor([[[-1.9809, -1.9809, -1.9809,  ..., -2.0494, -2.0665, -2.1008],
         [-1.9638, -1.9638, -1.9638,  ..., -2.0323, -2.0665, -2.1008],
         [-1.9809, -1.9809, -1.9809,  ..., -2.0323, -2.0494, -2.0837],
         ...,
         [ 0.6563,  0.7248,  0.7077,  ..., -1.9467, -1.9295, -2.0494],
         [ 0.6049,  0.6734,  0.6563,  ..., -1.9295, -1.9467, -2.0494],
         [-0.7650, -0.7650, -0.7650,  ..., -2.0152, -2.0323, -2.0837]],

        [[-1.8957, -1.8957, -1.8957,  ..., -1.9657, -1.9832, -2.0182],
         [-1.8782, -1.8782, -1.8782,  ..., -1.9482, -1.9832, -2.0182],
         [-1.8957, -1.8957, -1.8957,  ..., -1.9482, -1.9657, -2.0007],
         ...,
         [ 0.8004,  0.8704,  0.8529,  ..., -1.8606, -1.8431, -1.9657],
         [ 0.7479,  0.8179,  0.8004,  ..., -1.8431, -1.8606, -1.9657],
         [-0.6527, -0.6527, -0.6527,  ..., -1.9307, -1.9482, -2.0007]],

        [[-1.6650, -1.6650, -1.6650,  ..., -1.7347, -1.7522, -1.7870],
         [-1.6476, -1.6476, -1.6476,  ..., -1.7173, -1.7522, -1.7870],
         [-1.6650, -1.6650, -1.6650,  ..., -1.7173, -1.7347, -1.7696],
         ...,
         [ 1.0191,  1.0888,  1.0714,  ..., -1.6302, -1.6127, -1.7347],
         [ 0.9668,  1.0365,  1.0191,  ..., -1.6127, -1.6302, -1.7347],
         [-0.4275, -0.4275, -0.4275,  ..., -1.6999, -1.7173, -1.7696]]]), {'labels': tensor([1, 1]), 'object_ids': tensor([0, 1]), 'points': tensor([[0.3183, 0.2749],
        [0.5916, 0.6803]])}, {'boxes': tensor([[0.2310, 0.5317, 0.3096, 0.5264],
        [0.6040, 0.5762, 0.2510, 0.4512]])}, '000000.jpg', False)
====================================================================================================
using MyBalancedSampler and  50\% data.
====================================================================================================
Start training (Hypothesis 1: ResNet101 backbone)
epoch imgs: 4800
Epoch: [0]  [  0/300]  eta: 0:12:41  lr: 0.000100  loss: 5.1256 (5.1256)  loss_bbox: 3.1487 (3.1487)  loss_giou: 1.6522 (1.6522)  loss_unlabelcons: 0.3247 (0.3247)  time: 2.5372  data: 1.4830  max mem: 7856
Epoch: [0]  [ 10/300]  eta: 0:05:44  lr: 0.000100  loss: 3.6951 (3.8108)  loss_bbox: 2.1039 (2.1968)  loss_giou: 1.4706 (1.4642)  loss_unlabelcons: 0.1338 (0.1498)  time: 1.1888  data: 0.1522  max mem: 9197
Epoch: [2]  [ 10/300]  eta: 0:05:54  lr: 0.000100  loss: 3.0280 (3.0963)  loss_bbox: 1.6969 (1.6754)  loss_giou: 1.4491 (1.4124)  loss_unlabelcons: 0.0095 (0.0085)  time: 1.2220  data: 0.1683  max mem: 10468
Epoch: [2]  [ 20/300]  eta: 0:05:08  lr: 0.000100  loss: 3.1963 (3.0784)  loss_bbox: 1.7310 (1.6438)  loss_giou: 1.4491 (1.4276)  loss_unlabelcons: 0.0054 (0.0070)  time: 1.0058  data: 0.0245  max mem: 10468
Epoch: [2]  [ 30/300]  eta: 0:04:41  lr: 0.000100  loss: 3.1963 (3.1322)  loss_bbox: 1.7310 (1.6789)  loss_giou: 1.4883 (1.4461)  loss_unlabelcons: 0.0054 (0.0072)  time: 0.9459  data: 0.0239  max mem: 10468
Epoch: [2]  [ 40/300]  eta: 0:04:24  lr: 0.000100  loss: 3.1566 (3.1286)  loss_bbox: 1.6597 (1.6753)  loss_giou: 1.4838 (1.4466)  loss_unlabelcons: 0.0055 (0.0067)  time: 0.9248  data: 0.0237  max mem: 10468
Epoch: [2]  [ 50/300]  eta: 0:04:14  lr: 0.000100  loss: 3.1287 (3.1308)  loss_bbox: 1.6520 (1.6845)  loss_giou: 1.4408 (1.4402)  loss_unlabelcons: 0.0040 (0.0061)  time: 0.9770  data: 0.0341  max mem: 10468
Epoch: [2]  [ 60/300]  eta: 0:04:03  lr: 0.000100  loss: 3.0449 (3.1274)  loss_bbox: 1.6413 (1.6876)  loss_giou: 1.4139 (1.4339)  loss_unlabelcons: 0.0022 (0.0059)  time: 1.0131  data: 0.0233  max mem: 10468
Epoch: [2]  [ 70/300]  eta: 0:03:58  lr: 0.000100  loss: 3.0687 (3.1258)  loss_bbox: 1.5836 (1.6824)  loss_giou: 1.4595 (1.4375)  loss_unlabelcons: 0.0047 (0.0058)  time: 1.0810  data: 0.0255  max mem: 10468
Epoch: [2]  [ 80/300]  eta: 0:03:44  lr: 0.000100  loss: 3.0528 (3.1192)  loss_bbox: 1.5660 (1.6731)  loss_giou: 1.4595 (1.4402)  loss_unlabelcons: 0.0063 (0.0058)  time: 1.0343  data: 0.0346  max mem: 10468
Epoch: [2]  [ 90/300]  eta: 0:03:33  lr: 0.000100  loss: 3.0428 (3.1124)  loss_bbox: 1.5660 (1.6650)  loss_giou: 1.4470 (1.4417)  loss_unlabelcons: 0.0042 (0.0057)  time: 0.9459  data: 0.0235  max mem: 10468
Epoch: [2]  [100/300]  eta: 0:03:25  lr: 0.000100  loss: 3.0932 (3.1330)  loss_bbox: 1.5656 (1.6814)  loss_giou: 1.4509 (1.4458)  loss_unlabelcons: 0.0041 (0.0058)  time: 1.0654  data: 0.0256  max mem: 10468
Epoch: [2]  [110/300]  eta: 0:03:12  lr: 0.000100  loss: 3.1247 (3.1369)  loss_bbox: 1.5951 (1.6877)  loss_giou: 1.4509 (1.4425)  loss_unlabelcons: 0.0099 (0.0066)  time: 0.9999  data: 0.0241  max mem: 10468
Epoch: [2]  [120/300]  eta: 0:03:01  lr: 0.000100  loss: 3.0903 (3.1391)  loss_bbox: 1.7061 (1.6912)  loss_giou: 1.4056 (1.4413)  loss_unlabelcons: 0.0094 (0.0066)  time: 0.9189  data: 0.0237  max mem: 10468
Epoch: [2]  [130/300]  eta: 0:02:52  lr: 0.000100  loss: 3.0828 (3.1306)  loss_bbox: 1.6326 (1.6844)  loss_giou: 1.4009 (1.4385)  loss_unlabelcons: 0.0091 (0.0077)  time: 1.0283  data: 0.0346  max mem: 10468
Epoch: [2]  [140/300]  eta: 0:02:42  lr: 0.000100  loss: 3.1132 (3.1384)  loss_bbox: 1.6372 (1.6886)  loss_giou: 1.4467 (1.4417)  loss_unlabelcons: 0.0116 (0.0081)  time: 1.0315  data: 0.0236  max mem: 10468
Epoch: [2]  [150/300]  eta: 0:02:32  lr: 0.000100  loss: 3.1766 (3.1360)  loss_bbox: 1.7557 (1.6879)  loss_giou: 1.4474 (1.4403)  loss_unlabelcons: 0.0027 (0.0077)  time: 1.0195  data: 0.0251  max mem: 10468
Epoch: [2]  [160/300]  eta: 0:02:22  lr: 0.000100  loss: 3.1465 (3.1348)  loss_bbox: 1.6664 (1.6864)  loss_giou: 1.4546 (1.4411)  loss_unlabelcons: 0.0017 (0.0073)  time: 1.0260  data: 0.0346  max mem: 10468
Epoch: [2]  [170/300]  eta: 0:02:12  lr: 0.000100  loss: 3.1191 (3.1305)  loss_bbox: 1.6664 (1.6834)  loss_giou: 1.4273 (1.4401)  loss_unlabelcons: 0.0013 (0.0070)  time: 1.0126  data: 0.0237  max mem: 10468
Epoch: [2]  [180/300]  eta: 0:02:01  lr: 0.000100  loss: 3.1584 (3.1405)  loss_bbox: 1.6515 (1.6911)  loss_giou: 1.4273 (1.4423)  loss_unlabelcons: 0.0023 (0.0072)  time: 0.9864  data: 0.0248  max mem: 10468
Epoch: [2]  [190/300]  eta: 0:01:51  lr: 0.000100  loss: 3.1745 (3.1445)  loss_bbox: 1.5956 (1.6920)  loss_giou: 1.4787 (1.4449)  loss_unlabelcons: 0.0108 (0.0077)  time: 0.9629  data: 0.0232  max mem: 10468
Epoch: [2]  [200/300]  eta: 0:01:41  lr: 0.000100  loss: 3.1770 (3.1446)  loss_bbox: 1.6772 (1.6949)  loss_giou: 1.4438 (1.4421)  loss_unlabelcons: 0.0108 (0.0077)  time: 1.0235  data: 0.0261  max mem: 10468
Epoch: [2]  [210/300]  eta: 0:01:30  lr: 0.000100  loss: 3.0841 (3.1372)  loss_bbox: 1.6111 (1.6886)  loss_giou: 1.3925 (1.4407)  loss_unlabelcons: 0.0060 (0.0078)  time: 1.0114  data: 0.0368  max mem: 10468
Epoch: [2]  [220/300]  eta: 0:01:20  lr: 0.000100  loss: 2.9230 (3.1318)  loss_bbox: 1.4863 (1.6841)  loss_giou: 1.4081 (1.4401)  loss_unlabelcons: 0.0053 (0.0077)  time: 1.0042  data: 0.0236  max mem: 10468
Epoch: [2]  [230/300]  eta: 0:01:10  lr: 0.000100  loss: 2.9460 (3.1334)  loss_bbox: 1.5038 (1.6838)  loss_giou: 1.4405 (1.4419)  loss_unlabelcons: 0.0060 (0.0078)  time: 1.0377  data: 0.0255  max mem: 10468
Epoch: [2]  [240/300]  eta: 0:01:00  lr: 0.000100  loss: 2.9969 (3.1276)  loss_bbox: 1.5348 (1.6778)  loss_giou: 1.4645 (1.4420)  loss_unlabelcons: 0.0075 (0.0078)  time: 0.9944  data: 0.0345  max mem: 10468
Epoch: [2]  [250/300]  eta: 0:00:50  lr: 0.000100  loss: 3.0617 (3.1310)  loss_bbox: 1.6063 (1.6798)  loss_giou: 1.4480 (1.4435)  loss_unlabelcons: 0.0062 (0.0077)  time: 0.9660  data: 0.0234  max mem: 10468
Epoch: [2]  [260/300]  eta: 0:00:40  lr: 0.000100  loss: 3.1756 (3.1321)  loss_bbox: 1.6333 (1.6812)  loss_giou: 1.4835 (1.4434)  loss_unlabelcons: 0.0043 (0.0075)  time: 0.9529  data: 0.0252  max mem: 10468
Epoch: [2]  [270/300]  eta: 0:00:30  lr: 0.000100  loss: 2.9408 (3.1245)  loss_bbox: 1.5227 (1.6753)  loss_giou: 1.4330 (1.4416)  loss_unlabelcons: 0.0043 (0.0075)  time: 0.8965  data: 0.0238  max mem: 10468
Epoch: [2]  [280/300]  eta: 0:00:20  lr: 0.000100  loss: 2.9721 (3.1277)  loss_bbox: 1.5491 (1.6776)  loss_giou: 1.4337 (1.4426)  loss_unlabelcons: 0.0080 (0.0076)  time: 0.9523  data: 0.0240  max mem: 10468
Epoch: [2]  [290/300]  eta: 0:00:10  lr: 0.000100  loss: 3.0619 (3.1266)  loss_bbox: 1.5952 (1.6759)  loss_giou: 1.4566 (1.4431)  loss_unlabelcons: 0.0079 (0.0076)  time: 1.0226  data: 0.0315  max mem: 10468
Epoch: [2]  [299/300]  eta: 0:00:01  lr: 0.000100  loss: 3.0139 (3.1231)  loss_bbox: 1.5544 (1.6729)  loss_giou: 1.4192 (1.4425)  loss_unlabelcons: 0.0080 (0.0077)  time: 0.9603  data: 0.0205  max mem: 10468
Epoch: [2] Total time: 0:05:00 (1.0008 s / it)
Averaged stats: lr: 0.000100  loss: 3.0139 (3.1231)  loss_bbox: 1.5544 (1.6729)  loss_giou: 1.4192 (1.4425)  loss_unlabelcons: 0.0080 (0.0077)
epoch imgs: 4800
Epoch: [3]  [  0/300]  eta: 0:14:54  lr: 0.000100  loss: 2.9381 (2.9381)  loss_bbox: 1.6213 (1.6213)  loss_giou: 1.2972 (1.2972)  loss_unlabelcons: 0.0196 (0.0196)  time: 2.9812  data: 1.7608  max mem: 10468
Epoch: [3]  [ 10/300]  eta: 0:06:03  lr: 0.000100  loss: 2.7769 (2.7908)  loss_bbox: 1.4046 (1.4560)  loss_giou: 1.3141 (1.3148)  loss_unlabelcons: 0.0190 (0.0200)  time: 1.2526  data: 0.1701  max mem: 10468
Epoch: [3]  [ 20/300]  eta: 0:05:13  lr: 0.000100  loss: 2.8116 (2.9057)  loss_bbox: 1.4300 (1.5124)  loss_giou: 1.3519 (1.3697)  loss_unlabelcons: 0.0217 (0.0235)  time: 1.0266  data: 0.0232  max mem: 10468
Epoch: [3]  [ 30/300]  eta: 0:05:01  lr: 0.000100  loss: 3.1009 (3.0294)  loss_bbox: 1.5852 (1.5867)  loss_giou: 1.4939 (1.4244)  loss_unlabelcons: 0.0121 (0.0183)  time: 1.0423  data: 0.0233  max mem: 10468
Epoch: [3]  [ 40/300]  eta: 0:04:44  lr: 0.000100  loss: 3.0478 (3.0227)  loss_bbox: 1.5846 (1.5767)  loss_giou: 1.4793 (1.4305)  loss_unlabelcons: 0.0056 (0.0156)  time: 1.0699  data: 0.0230  max mem: 10468
Epoch: [3]  [ 50/300]  eta: 0:04:30  lr: 0.000100  loss: 3.0070 (3.0267)  loss_bbox: 1.5846 (1.5818)  loss_giou: 1.4553 (1.4288)  loss_unlabelcons: 0.0095 (0.0162)  time: 1.0322  data: 0.0355  max mem: 10468
Epoch: [3]  [ 60/300]  eta: 0:04:15  lr: 0.000100  loss: 3.0661 (3.0415)  loss_bbox: 1.6373 (1.5970)  loss_giou: 1.3939 (1.4293)  loss_unlabelcons: 0.0119 (0.0152)  time: 1.0045  data: 0.0237  max mem: 10468
Epoch: [3]  [ 70/300]  eta: 0:04:04  lr: 0.000100  loss: 3.0661 (3.0659)  loss_bbox: 1.6914 (1.6176)  loss_giou: 1.4253 (1.4319)  loss_unlabelcons: 0.0113 (0.0164)  time: 1.0082  data: 0.0241  max mem: 10468
Epoch: [3]  [ 80/300]  eta: 0:03:55  lr: 0.000100  loss: 2.9914 (3.0588)  loss_bbox: 1.5868 (1.6160)  loss_giou: 1.4068 (1.4271)  loss_unlabelcons: 0.0110 (0.0157)  time: 1.0866  data: 0.0378  max mem: 10468
Epoch: [3]  [ 90/300]  eta: 0:03:44  lr: 0.000100  loss: 2.9022 (3.0542)  loss_bbox: 1.5079 (1.6121)  loss_giou: 1.4206 (1.4273)  loss_unlabelcons: 0.0089 (0.0149)  time: 1.0985  data: 0.0257  max mem: 10468
Epoch: [3]  [100/300]  eta: 0:03:34  lr: 0.000100  loss: 2.9457 (3.0526)  loss_bbox: 1.5180 (1.6115)  loss_giou: 1.4206 (1.4241)  loss_unlabelcons: 0.0107 (0.0169)  time: 1.0812  data: 0.0242  max mem: 10468
Epoch: [3]  [110/300]  eta: 0:03:22  lr: 0.000100  loss: 2.9457 (3.0526)  loss_bbox: 1.5180 (1.6068)  loss_giou: 1.4317 (1.4281)  loss_unlabelcons: 0.0233 (0.0177)  time: 1.0440  data: 0.0235  max mem: 10468
Epoch: [3]  [120/300]  eta: 0:03:10  lr: 0.000100  loss: 3.0004 (3.0608)  loss_bbox: 1.5390 (1.6156)  loss_giou: 1.4513 (1.4274)  loss_unlabelcons: 0.0220 (0.0178)  time: 0.9903  data: 0.0236  max mem: 10468
Epoch: [3]  [130/300]  eta: 0:02:59  lr: 0.000100  loss: 3.1149 (3.0676)  loss_bbox: 1.5929 (1.6191)  loss_giou: 1.4767 (1.4313)  loss_unlabelcons: 0.0105 (0.0172)  time: 0.9960  data: 0.0356  max mem: 10468
Epoch: [3]  [140/300]  eta: 0:02:47  lr: 0.000100  loss: 3.0639 (3.0548)  loss_bbox: 1.5628 (1.6102)  loss_giou: 1.4361 (1.4278)  loss_unlabelcons: 0.0081 (0.0169)  time: 0.9915  data: 0.0241  max mem: 10468
Epoch: [3]  [150/300]  eta: 0:02:37  lr: 0.000100  loss: 2.9678 (3.0659)  loss_bbox: 1.5628 (1.6187)  loss_giou: 1.4221 (1.4305)  loss_unlabelcons: 0.0092 (0.0167)  time: 0.9947  data: 0.0247  max mem: 10468
Epoch: [3]  [160/300]  eta: 0:02:25  lr: 0.000100  loss: 3.1949 (3.0748)  loss_bbox: 1.7119 (1.6277)  loss_giou: 1.4513 (1.4306)  loss_unlabelcons: 0.0092 (0.0165)  time: 0.9787  data: 0.0350  max mem: 10468
Epoch: [3]  [170/300]  eta: 0:02:14  lr: 0.000100  loss: 3.0096 (3.0728)  loss_bbox: 1.5771 (1.6283)  loss_giou: 1.4145 (1.4280)  loss_unlabelcons: 0.0124 (0.0166)  time: 0.9584  data: 0.0231  max mem: 10468
Epoch: [3]  [180/300]  eta: 0:02:04  lr: 0.000100  loss: 2.9319 (3.0706)  loss_bbox: 1.5554 (1.6272)  loss_giou: 1.3516 (1.4254)  loss_unlabelcons: 0.0266 (0.0180)  time: 0.9908  data: 0.0244  max mem: 10468
Epoch: [3]  [190/300]  eta: 0:01:53  lr: 0.000100  loss: 2.9226 (3.0619)  loss_bbox: 1.5365 (1.6231)  loss_giou: 1.3404 (1.4213)  loss_unlabelcons: 0.0182 (0.0175)  time: 1.0077  data: 0.0237  max mem: 10468
Epoch: [3]  [200/300]  eta: 0:01:42  lr: 0.000100  loss: 2.9536 (3.0647)  loss_bbox: 1.5909 (1.6264)  loss_giou: 1.3783 (1.4214)  loss_unlabelcons: 0.0061 (0.0169)  time: 0.9540  data: 0.0232  max mem: 10468
Epoch: [3]  [210/300]  eta: 0:01:32  lr: 0.000100  loss: 2.9236 (3.0558)  loss_bbox: 1.5242 (1.6189)  loss_giou: 1.3966 (1.4204)  loss_unlabelcons: 0.0068 (0.0166)  time: 0.9602  data: 0.0350  max mem: 10468
Epoch: [3]  [220/300]  eta: 0:01:22  lr: 0.000100  loss: 2.8575 (3.0573)  loss_bbox: 1.4778 (1.6209)  loss_giou: 1.3995 (1.4203)  loss_unlabelcons: 0.0060 (0.0161)  time: 1.0187  data: 0.0239  max mem: 10468
Epoch: [3]  [230/300]  eta: 0:01:11  lr: 0.000100  loss: 2.9805 (3.0565)  loss_bbox: 1.5946 (1.6209)  loss_giou: 1.4164 (1.4200)  loss_unlabelcons: 0.0055 (0.0156)  time: 0.9588  data: 0.0250  max mem: 10468
Epoch: [3]  [240/300]  eta: 0:01:01  lr: 0.000100  loss: 3.1039 (3.0625)  loss_bbox: 1.6308 (1.6242)  loss_giou: 1.4534 (1.4229)  loss_unlabelcons: 0.0073 (0.0154)  time: 1.0418  data: 0.0355  max mem: 10468
Epoch: [3]  [250/300]  eta: 0:00:51  lr: 0.000100  loss: 3.2391 (3.0675)  loss_bbox: 1.7139 (1.6294)  loss_giou: 1.4523 (1.4224)  loss_unlabelcons: 0.0122 (0.0156)  time: 1.0329  data: 0.0234  max mem: 10468
Epoch: [3]  [260/300]  eta: 0:00:40  lr: 0.000100  loss: 3.0622 (3.0707)  loss_bbox: 1.6301 (1.6313)  loss_giou: 1.4303 (1.4235)  loss_unlabelcons: 0.0221 (0.0159)  time: 0.9480  data: 0.0243  max mem: 10468
Epoch: [3]  [270/300]  eta: 0:00:30  lr: 0.000100  loss: 3.0502 (3.0662)  loss_bbox: 1.6093 (1.6273)  loss_giou: 1.4267 (1.4227)  loss_unlabelcons: 0.0232 (0.0161)  time: 0.9876  data: 0.0235  max mem: 10468
Epoch: [3]  [280/300]  eta: 0:00:20  lr: 0.000100  loss: 2.9024 (3.0697)  loss_bbox: 1.5124 (1.6307)  loss_giou: 1.3984 (1.4225)  loss_unlabelcons: 0.0236 (0.0164)  time: 0.9785  data: 0.0230  max mem: 10468
Epoch: [3]  [290/300]  eta: 0:00:10  lr: 0.000100  loss: 3.1440 (3.0753)  loss_bbox: 1.7415 (1.6350)  loss_giou: 1.4125 (1.4236)  loss_unlabelcons: 0.0232 (0.0167)  time: 0.9987  data: 0.0317  max mem: 10468
Epoch: [3]  [299/300]  eta: 0:00:01  lr: 0.000100  loss: 3.1440 (3.0784)  loss_bbox: 1.7415 (1.6379)  loss_giou: 1.4210 (1.4233)  loss_unlabelcons: 0.0241 (0.0172)  time: 0.9518  data: 0.0205  max mem: 10468
Epoch: [3] Total time: 0:05:04 (1.0153 s / it)
Averaged stats: lr: 0.000100  loss: 3.1440 (3.0784)  loss_bbox: 1.7415 (1.6379)  loss_giou: 1.4210 (1.4233)  loss_unlabelcons: 0.0241 (0.0172)
epoch imgs: 4800
Epoch: [4]  [  0/300]  eta: 0:12:04  lr: 0.000100  loss: 4.4239 (4.4239)  loss_bbox: 2.6815 (2.6815)  loss_giou: 1.7049 (1.7049)  loss_unlabelcons: 0.0375 (0.0375)  time: 2.4156  data: 1.5653  max mem: 10468
Epoch: [4]  [ 10/300]  eta: 0:04:51  lr: 0.000100  loss: 3.1567 (3.2291)  loss_bbox: 1.7576 (1.7725)  loss_giou: 1.4894 (1.4371)  loss_unlabelcons: 0.0153 (0.0195)  time: 1.0043  data: 0.1519  max mem: 10468
Epoch: [4]  [ 20/300]  eta: 0:04:54  lr: 0.000100  loss: 2.8724 (3.1396)  loss_bbox: 1.5092 (1.6907)  loss_giou: 1.3889 (1.4350)  loss_unlabelcons: 0.0094 (0.0139)  time: 0.9843  data: 0.0239  max mem: 10468
Epoch: [4]  [ 30/300]  eta: 0:04:48  lr: 0.000100  loss: 2.7852 (3.0426)  loss_bbox: 1.3807 (1.6126)  loss_giou: 1.3817 (1.4176)  loss_unlabelcons: 0.0084 (0.0124)  time: 1.1015  data: 0.0249  max mem: 10468
Epoch: [4]  [ 40/300]  eta: 0:04:26  lr: 0.000100  loss: 2.9998 (3.0568)  loss_bbox: 1.4891 (1.6160)  loss_giou: 1.4133 (1.4263)  loss_unlabelcons: 0.0096 (0.0144)  time: 0.9937  data: 0.0228  max mem: 10468
Epoch: [4]  [ 50/300]  eta: 0:04:14  lr: 0.000100  loss: 3.1020 (3.0795)  loss_bbox: 1.6696 (1.6383)  loss_giou: 1.4390 (1.4267)  loss_unlabelcons: 0.0177 (0.0145)  time: 0.9384  data: 0.0349  max mem: 10468
Epoch: [4]  [ 60/300]  eta: 0:03:59  lr: 0.000100  loss: 3.1296 (3.1031)  loss_bbox: 1.7095 (1.6609)  loss_giou: 1.4324 (1.4283)  loss_unlabelcons: 0.0115 (0.0139)  time: 0.9418  data: 0.0238  max mem: 10468
Epoch: [4]  [ 70/300]  eta: 0:03:52  lr: 0.000100  loss: 3.0475 (3.0959)  loss_bbox: 1.5526 (1.6582)  loss_giou: 1.4068 (1.4242)  loss_unlabelcons: 0.0091 (0.0135)  time: 0.9944  data: 0.0231  max mem: 10468
Epoch: [4]  [ 80/300]  eta: 0:03:40  lr: 0.000100  loss: 2.9766 (3.0910)  loss_bbox: 1.5526 (1.6550)  loss_giou: 1.4013 (1.4228)  loss_unlabelcons: 0.0091 (0.0132)  time: 1.0103  data: 0.0353  max mem: 10468
Epoch: [4]  [ 90/300]  eta: 0:03:31  lr: 0.000100  loss: 2.9620 (3.0848)  loss_bbox: 1.5806 (1.6518)  loss_giou: 1.3861 (1.4196)  loss_unlabelcons: 0.0111 (0.0134)  time: 0.9850  data: 0.0233  max mem: 10468
Epoch: [4]  [100/300]  eta: 0:03:22  lr: 0.000100  loss: 2.9620 (3.0822)  loss_bbox: 1.5169 (1.6478)  loss_giou: 1.3982 (1.4205)  loss_unlabelcons: 0.0158 (0.0138)  time: 1.0555  data: 0.0237  max mem: 10468
Epoch: [4]  [110/300]  eta: 0:03:11  lr: 0.000100  loss: 2.9987 (3.0740)  loss_bbox: 1.5124 (1.6372)  loss_giou: 1.4412 (1.4228)  loss_unlabelcons: 0.0172 (0.0139)  time: 1.0242  data: 0.0244  max mem: 10468
Epoch: [4]  [120/300]  eta: 0:03:00  lr: 0.000100  loss: 3.0689 (3.0739)  loss_bbox: 1.6021 (1.6361)  loss_giou: 1.4412 (1.4234)  loss_unlabelcons: 0.0173 (0.0144)  time: 0.9439  data: 0.0230  max mem: 10468
Epoch: [4]  [130/300]  eta: 0:02:51  lr: 0.000100  loss: 3.0052 (3.0635)  loss_bbox: 1.5129 (1.6253)  loss_giou: 1.4229 (1.4232)  loss_unlabelcons: 0.0192 (0.0150)  time: 0.9940  data: 0.0350  max mem: 10468
Epoch: [4]  [140/300]  eta: 0:02:40  lr: 0.000100  loss: 2.8809 (3.0604)  loss_bbox: 1.5005 (1.6253)  loss_giou: 1.3888 (1.4192)  loss_unlabelcons: 0.0213 (0.0158)  time: 1.0358  data: 0.0239  max mem: 10468
Epoch: [4]  [150/300]  eta: 0:02:30  lr: 0.000100  loss: 2.9235 (3.0624)  loss_bbox: 1.5518 (1.6274)  loss_giou: 1.3737 (1.4191)  loss_unlabelcons: 0.0198 (0.0159)  time: 0.9926  data: 0.0231  max mem: 10468
Epoch: [4]  [160/300]  eta: 0:02:20  lr: 0.000100  loss: 3.0298 (3.0587)  loss_bbox: 1.5883 (1.6235)  loss_giou: 1.3972 (1.4167)  loss_unlabelcons: 0.0260 (0.0185)  time: 0.9736  data: 0.0355  max mem: 10468
Epoch: [4]  [170/300]  eta: 0:02:10  lr: 0.000100  loss: 3.0335 (3.0580)  loss_bbox: 1.6008 (1.6237)  loss_giou: 1.3981 (1.4161)  loss_unlabelcons: 0.0192 (0.0182)  time: 1.0252  data: 0.0240  max mem: 10468
Epoch: [4]  [180/300]  eta: 0:02:01  lr: 0.000100  loss: 3.0411 (3.0587)  loss_bbox: 1.6159 (1.6251)  loss_giou: 1.4138 (1.4156)  loss_unlabelcons: 0.0141 (0.0180)  time: 1.0946  data: 0.0234  max mem: 10468
Epoch: [4]  [190/300]  eta: 0:01:51  lr: 0.000100  loss: 2.9926 (3.0531)  loss_bbox: 1.5150 (1.6201)  loss_giou: 1.4148 (1.4146)  loss_unlabelcons: 0.0191 (0.0184)  time: 1.0488  data: 0.0239  max mem: 10468
